,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2020 GMC Yukon XL SLT,"45,489","Santa Rosa, CA 95407",4.8, Gasoline,14,21, 4WD, 5.3L V8 16V GDI OHV, Summit White, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$51,000"
1, 2019 RAM 1500 Classic SLT,"29,722","Santa Rosa, CA 95407",4.5, Gasoline,15,22, RWD, 5.7L V8 16V MPFI OHV, Maximum Steel Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$32,700"
2, 2018 Honda CR-V Touring,"33,318","Santa Rosa, CA 95407",4.5, Gasoline,28,34, FWD, 1.5L I4 16V GDI DOHC Turbo, Lunar Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$26,000"
3, 2020 Hyundai Ioniq Hybrid Limited,12,"Santa Rosa, CA 95407",4.5, Hybrid,55,54, FWD, 1.6L I4 16V GDI DOHC Hybrid, Ceramic White, Dark Gray, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$27,320"
4, 2020 Chevrolet Bolt EV Premier,2,"Santa Rosa, CA 95407",4.6, Electric,127,108, FWD, Electric, White, Dark Galvanized, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$26,375"
5, 2021 Chevrolet Traverse LT Cloth,3,"Santa Rosa, CA 95407",4.6, Gasoline,18,27, FWD, 3.6L V6 24V GDI DOHC, White, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$34,731"
6, 2017 Land Rover Range Rover,"31,367","Santa Rosa, CA 95404",3.6, Gasoline,-1,-1, 4WD, Intercooled Supercharger Premium Unleaded V-6 3.0 L/183, White,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$57,480"
7, 2020 GMC Acadia SLE,"3,580","Healdsburg, CA 95448",4.7, Gasoline,21,27, FWD, 2.5L I4 16V GDI DOHC, Quicksilver Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$26,995"
8, 2011 Chevrolet Silverado 1500 Work Truck,"88,059","Napa, CA 94559",4.5, Gasoline,15,20, RWD, 4.3L V6 12V MPFI OHV, Summit White, Dark Titanium, 4-Speed Automatic,-1,['Stability Control'],"$15,615"
9, 2019 Nissan Rogue SV,"34,454","Napa, CA 94559",4.3, Gasoline,25,32, AWD, 2.5L I4 16V MPFI DOHC, Gun Metallic, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$20,981"
